id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities_wifi_internet,amenities_tv,amenities_air_conditioning,amenities_heating,amenities_kitchen
5375,apartment,private_room,1,1.5,1.0,1.0,real_bed,1,1,0,1,1
5376,apartment,private_room,1,1.5,1.0,1.0,real_bed,1,1,0,1,1
5377,condominium,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5378,apartment,entire_home_apt,11,3.0,3.0,6.0,real_bed,1,1,1,1,1
5379,apartment,entire_home_apt,4,1.0,0.0,1.0,real_bed,1,1,1,1,1
5380,apartment,entire_home_apt,2,1.0,0.0,1.0,real_bed,1,1,1,1,1
5381,apartment,entire_home_apt,3,1.0,2.0,2.0,real_bed,1,1,0,1,1
5382,condominium,entire_home_apt,8,4.0,4.0,7.0,real_bed,1,1,1,1,1
5383,apartment,entire_home_apt,1,1.0,1.0,1.0,real_bed,1,1,0,1,1
5384,apartment,private_room,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
5385,apartment,entire_home_apt,4,1.0,1.0,1.0,real_bed,1,1,1,1,1
5386,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,0,0,1,1
5387,serviced_apartment,hotel_room,4,1.0,1.0,1.0,real_bed,1,1,1,1,1
5388,apartment,entire_home_apt,5,2.0,3.0,4.0,real_bed,1,1,1,1,1
5389,loft,entire_home_apt,2,1.0,0.0,1.0,real_bed,1,1,1,1,1
5390,apartment,entire_home_apt,2,1.0,0.0,1.0,real_bed,1,1,1,1,1
5391,apartment,entire_home_apt,4,2.5,2.0,3.0,real_bed,1,1,1,1,1
5392,apartment,entire_home_apt,12,3.0,3.0,3.0,real_bed,1,1,1,1,1
5393,apartment,entire_home_apt,4,1.0,2.0,3.0,real_bed,1,1,1,1,1
5394,apartment,entire_home_apt,12,3.0,3.0,6.0,real_bed,1,1,1,1,1
5395,apartment,entire_home_apt,4,1.0,1.0,1.0,real_bed,1,1,1,1,1
5396,apartment,entire_home_apt,4,1.0,1.0,1.0,real_bed,1,1,1,1,1
5397,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5398,apartment,entire_home_apt,6,2.0,2.0,2.0,real_bed,1,1,1,1,1
5399,apartment,entire_home_apt,16,4.0,4.0,8.0,real_bed,1,1,1,1,1
5400,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5401,apartment,private_room,1,1.5,1.0,1.0,real_bed,1,1,0,1,1
5402,serviced_apartment,hotel_room,4,1.0,1.0,1.0,real_bed,1,1,1,1,1
5403,apartment,entire_home_apt,6,2.0,2.0,4.0,real_bed,1,1,1,1,1
5404,apartment,entire_home_apt,6,1.0,3.0,3.0,real_bed,1,1,1,1,1
5405,apartment,entire_home_apt,3,1.0,2.0,2.0,real_bed,1,1,1,1,1
5406,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,1,0,1,1
5407,apartment,entire_home_apt,6,2.0,3.0,3.0,real_bed,1,1,1,1,1
5408,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,0,1,1
5409,apartment,private_room,2,2.0,1.0,1.0,real_bed,1,1,0,1,0
5410,apartment,entire_home_apt,2,1.0,0.0,2.0,real_bed,1,1,1,1,1
5411,apartment,entire_home_apt,5,1.0,1.0,4.0,real_bed,1,1,1,1,1
5412,loft,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5413,loft,entire_home_apt,3,1.0,0.0,2.0,real_bed,1,1,1,1,1
5414,serviced_apartment,entire_home_apt,3,1.0,1.0,2.0,real_bed,1,1,1,1,1
5415,apartment,entire_home_apt,3,1.0,1.0,1.0,real_bed,1,1,1,1,1
5416,apartment,entire_home_apt,6,2.0,2.0,3.0,real_bed,0,1,0,0,1
5417,apartment,entire_home_apt,5,1.0,2.0,5.0,real_bed,1,1,1,1,1
5418,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5419,apartment,entire_home_apt,3,1.0,1.0,1.0,real_bed,1,1,1,1,1
5420,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,0,1,1,1
5421,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
5422,apartment,entire_home_apt,3,1.0,1.0,2.0,real_bed,1,1,1,1,1
5423,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,1,0,1,1
5424,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,1,1,1,1
5425,apartment,entire_home_apt,2,1.0,1.0,1.0,real_bed,1,1,1,1,1
5426,apartment,entire_home_apt,4,1.0,1.0,1.0,real_bed,1,1,1,1,1
5427,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5428,apartment,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5429,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,0,1,1,1
5430,apartment,entire_home_apt,5,2.0,2.0,3.0,real_bed,1,1,1,1,1
5431,apartment,entire_home_apt,8,2.0,2.0,2.0,real_bed,1,1,1,1,1
5432,apartment,entire_home_apt,4,1.0,1.0,1.0,real_bed,1,1,0,1,1
5433,apartment,private_room,1,1.0,1.0,1.0,real_bed,1,1,1,1,1
5434,apartment,entire_home_apt,4,1.0,2.0,2.0,real_bed,1,1,0,1,1
5435,loft,entire_home_apt,4,1.0,1.0,2.0,real_bed,1,1,1,1,1
5436,apartment,entire_home_apt,4,1.0,1.0,1.0,real_bed,1,1,1,1,1
